Name		Size			Attributes	Classes

australian	690			14		2
german		1000			24		2
heart 		270			13		2
shuttle		43500/14500		9		7
sat		4435/2000		36		6
segment		2310			19		7
vehicle		846			18		4

cover type*	581012			53		8
mnist		60000/10000		780		10
poker		25,010/1,000,000	10		10
codrna		59535/271617		8		2
pendigits	7494/3498		16		10
protein		17766/6621		357		3
dna		2000/1186		180		3
seismic		78823/19705		50		3
letter		20000			16		26

ijcnn1		49990/91701		22		2
leu		7129			38/34 (?)	2
mushrooms	8124			112		2
phishing	11055			68		2
madelon		2000/600		500		2
splice		1000/2175		60		2
usps		7291/2007		256		10

**news		15935			62061		20
aloi		108000			128		1000
